FB/(1,L4)/s-FB/(1,L3)/b
FB/(1,L3)/s-FB/(1,L2)/b
FB/(1,L2)/s-FB/(1,L1)/b
FB/(1,L1)/s-FB/(1,R1)/b
FB/(1,R1)/s-FB/(1,R2)/b
FB/(1,R2)/s-FB/(1,R3)/b
FB/(1,R3)/s-FB/(1,R4)/b
FB/(2,L4)/s-FB/(2,L3)/b
FB/(2,L3)/s-FB/(2,L2)/b
FB/(2,L2)/s-FB/(2,L1)/b
FB/(2,L1)/s-FB/(2,R1)/b
FB/(2,R1)/s-FB/(2,R2)/b
FB/(2,R2)/s-FB/(2,R3)/b
FB/(2,R3)/s-FB/(2,R4)/b
FB/(3,L4)/s-FB/(3,L3)/b
FB/(3,L3)/s-FB/(3,L2)/b
FB/(3,L2)/s-FB/(3,L1)/b
FB/(3,L1)/s-FB/(3,R1)/b
FB/(3,R1)/s-FB/(3,R2)/b
FB/(3,R2)/s-FB/(3,R3)/b
FB/(3,R3)/s-FB/(3,R4)/b
FB/(4,L4)/s-FB/(4,L3)/b
FB/(4,L3)/s-FB/(4,L2)/b
FB/(4,L2)/s-FB/(4,L1)/b
FB/(4,L1)/s-FB/(4,R1)/b
FB/(4,R1)/s-FB/(4,R2)/b
FB/(4,R2)/s-FB/(4,R3)/b
FB/(4,R3)/s-FB/(4,R4)/b
FB/(5,L4)/s-FB/(5,L3)/b
FB/(5,L3)/s-FB/(5,L2)/b
FB/(5,L2)/s-FB/(5,L1)/b
FB/(5,L1)/s-FB/(5,R1)/b
FB/(5,R1)/s-FB/(5,R2)/b
FB/(5,R2)/s-FB/(5,R3)/b
FB/(5,R3)/s-FB/(5,R4)/b
